SPORT;TYPE;COMMUNE;NCOM;CAID_INS;CODE;LIEN_FICHE_DESCRIPTIVE;LIEN_PHOTOS;CATEGORIE;E;N
Tennis;Court de tennis;AIRE-LA-VILLE;6601;;6601.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-1.html;zone de sport;2492425.31;1116461.16
Football;Terrain de football;AIRE-LA-VILLE;6601;;6601.1.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-1.html;zone de sport;2492372.30;1116464.16
Basketball;Salle polyvalente;AIRE-LA-VILLE;6601;;6601.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-2.html;centre sportif;2492398.30;1116481.16
Gymnastique;Salle polyvalente;AIRE-LA-VILLE;6601;;6601.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-2.html;centre sportif;2492398.30;1116481.16
Volley-ball;Salle polyvalente;AIRE-LA-VILLE;6601;;6601.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-2.html;centre sportif;2492398.30;1116481.16
Tennis;Courts de tennis;ANIERES;6602;;6602.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506497.43;1125497.24
Badminton;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Basketball;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Fitness;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Gymnastique;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Handball;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Tennis;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Unihockey;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Volley-ball;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Basketball;Terrain de basket;ANIERES;6602;;6602.2.SA6;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506529.43;1125521.25
Football;Terrain de football;ANIERES;6602;;6602.2.SA4;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506458.43;1125531.24
Pétanque;Terrains de pétanque;ANIERES;6602;;6602.2.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506396.43;1125513.24
Pétanque;Terrains de pétanque;ANIERES;6602;;6602.2.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506544.43;1125456.24
Divers;Place de jeux de l'école;ANIERES;6602;;6602.4.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-4.html;terrain;2506569.43;1125570.25
Badminton;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Basketball;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Gymnastique;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Handball;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Tennis;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Volley-ball;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Gymnastique;Salle;AVULLY;6603;;6603.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-2.html;salle;2488245.21;1113869.13
Judo;Salle;AVULLY;6603;;6603.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-2.html;salle;2488245.21;1113869.13
Tennis;Courts de tennis;AVULLY;6603;;6603.3.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-3.html;zone de sport;2488257.21;1113774.14
Jeux;Hobbyland;AVULLY;6603;;6603.3.SA6;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-3.html;zone de sport;2488173.21;1113681.14
Football;Terrain de football;AVULLY;6603;;6603.3.SA4;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-3.html;zone de sport;2488250.21;1113691.14
Pétanque;Terrains de pétanque;AVULLY;6603;;6603.3.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-3.html;zone de sport;2488295.21;1113773.14
Tir à l'arc;Stand de tir à l'arc;AVULLY;6603;;6603.4.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-4.html;terrain;2488343.21;1113744.14
Skateboard;Piste de skate-board;AVUSY;6604;;6604.2.SA6;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489068.20;1112474.13
Badminton;Salle des fêtes;AVUSY;6604;;6604.2.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489124.20;1112498.13
Basketball;Salle des fêtes;AVUSY;6604;;6604.2.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489124.20;1112498.13
Gymnastique;Salle des fêtes;AVUSY;6604;;6604.2.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489124.20;1112498.13
Volley-ball;Salle des fêtes;AVUSY;6604;;6604.2.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489124.20;1112498.13
Football;Terrain  de football;AVUSY;6604;;6604.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489155.20;1112433.13
Rugby;Terrain  de football;AVUSY;6604;;6604.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489155.20;1112433.13
Athlétisme;Terrain d'athlétisme;AVUSY;6604;;6604.2.SA4;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489110.20;1112340.13
Basketball;Terrain de basketball;AVUSY;6604;;6604.2.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489168.20;1112501.13
Football;Terrain de football - rugby;AVUSY;6604;;6604.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489143.20;1112383.13
Rugby;Terrain de football - rugby;AVUSY;6604;;6604.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6604-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6604-2.html;zone de sport;2489143.20;1112383.13
Tir à feu;Stand de tir;BARDONNEX;6605;;6605.3.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-3.html;stand;2499580.44;1112285.21
Basketball;Salle de gymnastique;BARDONNEX;6605;;6605.4.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-4.html;salle;2497970.38;1112188.18
Gymnastique;Salle de gymnastique;BARDONNEX;6605;;6605.4.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-4.html;salle;2497970.38;1112188.18
Volley-ball;Salle de gymnastique;BARDONNEX;6605;;6605.4.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-4.html;salle;2497970.38;1112188.18
Judo;Salle de judo;BARDONNEX;6605;;6605.4.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-4.html;salle;2497954.38;1112200.18
Football;Terrain de football A;BARDONNEX;6605;;6605.5.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-5.html;stade;2498171.39;1111724.17
Football;Terrain de football B;BARDONNEX;6605;;6605.5.SA4;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-5.html;stade;2498189.39;1111817.18
Football;Terrain de football;BARDONNEX;6605;;6605.6.SA6;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-6.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-6.html;terrain;2498538.40;1111727.17
Divers;Terrains extérieurs;BARDONNEX;6605;;6605.7.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-7.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-7.html;zone de sport;2498155.39;1111773.17
Football;Terrains extérieurs;BARDONNEX;6605;;6605.7.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-7.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-7.html;zone de sport;2498155.39;1111773.17
Handball;Terrains extérieurs;BARDONNEX;6605;;6605.7.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-7.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-7.html;zone de sport;2498155.39;1111773.17
Tennis;Terrains extérieurs;BARDONNEX;6605;;6605.7.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-7.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-7.html;zone de sport;2498155.39;1111773.17
Volley-ball;Terrains extérieurs;BARDONNEX;6605;;6605.7.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6605-7.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6605-7.html;zone de sport;2498155.39;1111773.17
Basketball;Salle de gymnastique de Bellevue;BELLEVUE;6606;;6606.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-1.html;zone de sport;2500851.45;1123395.20
Gymnastique;Salle de gymnastique de Bellevue;BELLEVUE;6606;;6606.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-1.html;zone de sport;2500851.45;1123395.20
Volley-ball;Salle de gymnastique de Bellevue;BELLEVUE;6606;;6606.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-1.html;zone de sport;2500851.45;1123395.20
Danse;Salle de rythmique;BELLEVUE;6606;;6606.1.SA12;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-1.html;zone de sport;2500845.45;1123406.20
Gymnastique;Salle de rythmique;BELLEVUE;6606;;6606.1.SA12;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-1.html;zone de sport;2500845.45;1123406.20
Rythmique;Salle de rythmique;BELLEVUE;6606;;6606.1.SA12;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-1.html;zone de sport;2500845.45;1123406.20
Basketball;Terrain de basket;BELLEVUE;6606;;6606.1.SA13;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-1.html;zone de sport;2500870.45;1123436.20
Tir à l'arbalète;Stand de tir à l'arbalète;BELLEVUE;6606;;6606.2.SA8;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-2.html;stand;2499869.44;1123569.21
Tennis;Courts de tennis;BELLEVUE;6606;;6606.3.SA10;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2499981.40;1124002.24
Tennis;Courts de tennis;BELLEVUE;6606;;6606.3.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2500038.40;1124006.24
Tennis;Courts de tennis;BELLEVUE;6606;;6606.3.SA4;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2499991.40;1124020.24
Aérobic;Salle de fitness;BELLEVUE;6606;;6606.3.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2499970.40;1124094.24
Musculation;Salle de fitness;BELLEVUE;6606;;6606.3.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2499970.40;1124094.24
Fitness;Salle de musculation;BELLEVUE;6606;;6606.3.SA9;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2499990.40;1124067.24
Musculation;Salle de musculation;BELLEVUE;6606;;6606.3.SA9;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2499990.40;1124067.24
Golf;Terrain de golf (practice);BELLEVUE;6606;;6606.3.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2499880.40;1124080.25
Squash;Terrain de squash;BELLEVUE;6606;;6606.3.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-3.html;centre sportif;2499953.40;1124033.24
Skate-board;Rampe de skate-board;BELLEVUE;6606;;6606.4.SA6;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-4.html;centre sportif;2500812.45;1123431.20
Football;Terrain de football;BELLEVUE;6606;;6606.4.SA11;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-4.html;centre sportif;2500765.45;1123448.20
Pétanque;Terrains de pétanque;BELLEVUE;6606;;6606.7.SA14;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-7.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-7.html;terrain;2500866.45;1123467.20
Aérobic;Fitness Santé;BELLEVUE;6606;;6606.8.SA15;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-8.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-8.html;salle;2500081.39;1124195.25
Musculation;Fitness Santé;BELLEVUE;6606;;6606.8.SA15;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-8.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-8.html;salle;2500081.39;1124195.25
Musculation;Salle de musculation;BELLEVUE;6606;;6606.8.SA16;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-8.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-8.html;salle;2500081.39;1124195.25
Beach-volley;Beach Volley;BELLEVUE;6606;;6606.9.SA18;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-9.html;centre sportif;2499992.44;1123606.21
Pétanque;Boulodrome;BELLEVUE;6606;;6606.9.SA20;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-9.html;centre sportif;2499955.44;1123634.21
Tennis de table;Tennis de table;BELLEVUE;6606;;6606.9.SA19;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-9.html;centre sportif;2499977.44;1123611.21
Badminton;Terrain multi-sports;BELLEVUE;6606;;6606.9.SA17;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-9.html;centre sportif;2499940.44;1123594.21
Basketball;Terrain multi-sports;BELLEVUE;6606;;6606.9.SA17;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-9.html;centre sportif;2499940.44;1123594.21
Football;Terrain multi-sports;BELLEVUE;6606;;6606.9.SA17;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-9.html;centre sportif;2499940.44;1123594.21
Handball;Terrain multi-sports;BELLEVUE;6606;;6606.9.SA17;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-9.html;centre sportif;2499940.44;1123594.21
Volley-ball;Terrain multi-sports;BELLEVUE;6606;;6606.9.SA17;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6606-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6606-9.html;centre sportif;2499940.44;1123594.21
Basketball;Salle de gymnastique;BERNEX;6607;;6607.2.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493893.28;1114668.15
Gymnastique;Salle de gymnastique;BERNEX;6607;;6607.2.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493893.28;1114668.15
Handball;Salle de gymnastique;BERNEX;6607;;6607.2.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493893.28;1114668.15
Tennis;Salle de gymnastique;BERNEX;6607;;6607.2.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493893.28;1114668.15
Volley-ball;Salle de gymnastique;BERNEX;6607;;6607.2.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493893.28;1114668.15
Judo;Salle de judo;BERNEX;6607;;6607.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493894.28;1114673.15
Basketball;Salle omnisports;BERNEX;6607;;6607.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493798.28;1114649.15
Gymnastique;Salle omnisports;BERNEX;6607;;6607.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493798.28;1114649.15
Volley-ball;Salle omnisports;BERNEX;6607;;6607.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493798.28;1114649.15
Tennis de table;Salles de tennis de table;BERNEX;6607;;6607.2.SA4;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493892.28;1114662.15
Football;Terrain de football et de basketball;BERNEX;6607;;6607.2.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-2.html;zone de sport;2493842.28;1114664.15
Basketball;Salle de gymnastique Luchepelet;BERNEX;6607;;6607.3.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-3.html;salle;2494654.29;1115014.17
Gymnastique;Salle de gymnastique Luchepelet;BERNEX;6607;;6607.3.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-3.html;salle;2494654.29;1115014.17
Handball;Salle de gymnastique Luchepelet;BERNEX;6607;;6607.3.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-3.html;salle;2494654.29;1115014.17
Volley-ball;Salle de gymnastique Luchepelet;BERNEX;6607;;6607.3.SA7;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-3.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-3.html;salle;2494654.29;1115014.17
Basketball;Salle de gymnastique de Lully;BERNEX;6607;;6607.4.SA8;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-4.html;salle;2494153.30;1113299.14
Gymnastique;Salle de gymnastique de Lully;BERNEX;6607;;6607.4.SA8;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-4.html;salle;2494153.30;1113299.14
Handball;Salle de gymnastique de Lully;BERNEX;6607;;6607.4.SA8;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-4.html;salle;2494153.30;1113299.14
Tennis;Salle de gymnastique de Lully;BERNEX;6607;;6607.4.SA8;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-4.html;salle;2494153.30;1113299.14
Volley-ball;Salle de gymnastique de Lully;BERNEX;6607;;6607.4.SA8;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-4.html;salle;2494153.30;1113299.14
Football;Terrain de football A;BERNEX;6607;;6607.5.SA10;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-5.html;zone de sport;2494471.28;1114353.14
Football;Terrain de football B;BERNEX;6607;;6607.5.SA11;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6607-5.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6607-5.html;zone de sport;2494537.29;1114386.14
