SPORT;TYPE;COMMUNE;NCOM;CAID_INS;CODE;LIEN_FICHE_DESCRIPTIVE;LIEN_PHOTOS;CATEGORIE;E;N
Tennis;Salle de gymnastique;VERNIER;6643;;6643.8.SA28;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6643-8.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6643-8.html;zone de sport;2497425.33;1119229.17
Volley-ball;Salle de gymnastique;VERNIER;6643;;6643.8.SA28;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6643-8.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6643-8.html;zone de sport;2497425.33;1119229.17
Pétanque;Terrains de pétanque;VERNIER;6643;;6643.8.SA29;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6643-8.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6643-8.html;zone de sport;2497441.33;1119245.17
Pétanque;Terrains de pétanque;VERNIER;6643;;6643.8.SA30;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6643-8.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6643-8.html;zone de sport;2497458.33;1119258.17
Gymnastique;Salle de gymnastique;VERNIER;6643;;6643.9.SA31;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6643-9.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6643-9.html;zone de sport;2497596.35;1118666.18
Football;Terrain de football;VERSOIX;6644;;6644.10.SA14;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-10.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-10.html;stade;2501400.26;1126752.21
Judo;Dojo;VERSOIX;6644;;6644.12.SA17;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-12.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-12.html;zone de sport;2501776.27;1126899.22
Ju-Jitsu;Dojo;VERSOIX;6644;;6644.12.SA17;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-12.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-12.html;zone de sport;2501776.27;1126899.22
Danse;Salle de danse;VERSOIX;6644;;6644.12.SA16;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-12.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-12.html;zone de sport;2501710.27;1126881.22
Tennis de table;Salle de ping-pong;VERSOIX;6644;;6644.12.SA15;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-12.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-12.html;zone de sport;2501783.27;1126915.22
Badminton;Agorespace des Fayards;VERSOIX;6644;;6644.15.SA22;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-15.html;terrain;2501818.26;1125596.22
Basketball;Agorespace des Fayards;VERSOIX;6644;;6644.15.SA22;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-15.html;terrain;2501818.26;1125596.22
Football;Agorespace des Fayards;VERSOIX;6644;;6644.15.SA22;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6644-15.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6644-15.html;terrain;2501818.26;1125596.22
